izo;prijati;zamitnuti;celkem
110017650.0;7;0;7
110017854.0;124;183;307
110017919.0;52;28;80
110018044.0;45;91;136
110018061.0;48;60;108
110018095.0;65;171;236
110020405.0;46;141;187
110020553.0;65;85;150
110020634.0;10;3;13
110020707.0;66;84;150
110021461.0;40;139;179
110021479.0;56;95;151
110022084.0;8;11;19
110022289.0;189;473;662
110022769.0;1;1;2
110022866.0;7;8;15
110022971.0;28;41;69
110023111.0;8;1;9
110023145.0;5;8;13
110023234.0;27;38;65
110023498.0;49;69;118
110023668.0;57;137;194
110023676.0;51;62;113
110023765.0;4;0;4
110023901.0;8;8;16
110023927.0;7;3;10
110025148.0;66;74;140
110025172.0;164;231;395
110025202.0;194;206;400
110025334.0;12;14;26
110025474.0;56;76;132
110025580.0;87;183;270
110025725.0;67;184;251
110025741.0;7;21;28
110025831.0;35;41;76
110025857.0;90;193;283
110025873.0;87;116;203
110026012.0;241;842;1083
110026179.0;149;283;432
110026420.0;15;30;45
110027027.0;80;142;222
110027230.0;49;87;136
110027752.0;20;3;23
110027795.0;141;200;341
110028201.0;58;55;113
110028538.0;5;4;9
110028554.0;106;158;264
110028881.0;247;406;653
110029470.0;136;200;336
110030478.0;193;656;849
110030494.0;189;535;724
110030559.0;60;137;197
110030591.0;174;531;705
110030672.0;122;419;541
110030729.0;112;182;294
110030745.0;100;228;328
110030818.0;156;417;573
110030893.0;220;705;925
110030923.0;154;295;449
110030966.0;263;560;823
110030982.0;177;472;649
110031008.0;198;695;893
110031067.0;223;1110;1333
110031105.0;104;165;269
110031229.0;240;518;758
110031261.0;97;162;259
110031300.0;59;67;126
110031334.0;56;98;154
110032110.0;201;411;612
110032233.0;88;203;291
110032608.0;24;48;72
110032641.0;140;278;418
110032829.0;41;69;110
110033795.0;65;93;158
110033809.0;8;9;17
110034147.0;134;193;327
110034538.0;65;81;146
110034635.0;102;114;216
110034741.0;24;100;124
110034791.0;7;2;9
110035381.0;87;193;280
110035798.0;72;155;227
110036026.0;8;4;12
110036166.0;3;0;3
110036204.0;120;603;723
110036514.0;89;195;284
110036611.0;153;215;368
110036778.0;252;610;862
110036816.0;140;371;511
110036859.0;83;151;234
110036891.0;101;148;249
110037529.0;127;441;568
110037545.0;48;85;133
110037791.0;173;524;697
110100204.0;357;698;1055
110100549.0;437;1127;1564
110100590.0;496;639;1135
110100662.0;387;927;1314
110100689.0;2;0;2
110100859.0;46;98;144
110100867.0;81;137;218
110150031.0;449;902;1351
110150058.0;288;655;943
110150309.0;148;307;455
110150414.0;198;222;420
110150511.0;9;1;10
110200039.0;189;262;451
110200403.0;175;413;588
110250141.0;128;163;291
110250249.0;207;468;675
110250460.0;303;725;1028
110250541.0;175;192;367
110250591.0;365;764;1129
110250842.0;43;49;92
110250907.0;8;1;9
110251059.0;62;109;171
110300025.0;30;46;76
110300572.0;138;325;463
110300602.0;102;194;296
110300696.0;5;3;8
110300777.0;11;18;29
110300823.0;16;12;28
110350413.0;5;2;7
110351070.0;34;56;90
110380126.0;37;31;68
110380193.0;20;83;103
110380223.0;21;41;62
110380339.0;98;218;316
110400666.0;108;193;301
110450311.0;58;157;215
110450469.0;38;63;101
110450639.0;143;369;512
110450680.0;90;74;164
110450931.0;138;412;550
110451015.0;52;60;112
110451066.0;215;660;875
110451228.0;29;158;187
110451279.0;45;54;99
110500032.0;69;164;233
110500148.0;199;496;695
110500164.0;85;129;214
110500326.0;96;106;202
110500644.0;1;1;2
110500709.0;12;4;16
110500784.0;11;0;11
110550064.0;1;0;1
116000635.0;10;2;12
130000167.0;18;10;28
130000183.0;107;220;327
130001180.0;149;237;386
130001236.0;272;528;800
130001333.0;303;914;1217
130001341.0;260;436;696
130001376.0;170;507;677
130001422.0;202;364;566
130001457.0;90;147;237
130001473.0;127;246;373
130001538.0;108;224;332
130001546.0;219;470;689
130001597.0;204;367;571
130001601.0;178;413;591
130001678.0;244;529;773
130001694.0;101;200;301
130001732.0;186;276;462
130001767.0;193;349;542
130001902.0;150;776;926
130002046.0;278;667;945
130002054.0;353;726;1079
130002089.0;284;480;764
130002097.0;97;151;248
130002135.0;151;265;416
130002160.0;140;246;386
130002186.0;208;298;506
